기준월,시나리오ID,예측수요량,출하승인량,가용생산량,권역출하량,긴급조달발주량,미충족수요량,서비스율(%),S1평균공급이행률(%),월말원료재고량,월말중앙재고량,최대활성이벤트수,운영단계
2025-01,S3_통합대응,570279.024,570279.024,570279.024,285326.514,0.000,0.000,100.00,100.00,124747.560,341980.411,0,Phase 1 정상기준
2025-02,S3_통합대응,447281.216,447281.216,447281.216,384392.460,0.000,0.000,100.00,100.00,124747.560,404869.168,0,Phase 1 정상기준
2025-03,S3_통합대응,450695.970,504572.170,504572.170,450993.467,42697.512,0.000,100.00,100.00,67817.543,458447.868,1,Phase 1 정상기준 / Phase 2 위험감지·선행대응
2025-04,S3_통합대응,449508.296,451003.801,451003.801,449293.292,70974.996,0.000,100.00,80.00,0.000,460158.376,2,Phase 2 위험감지·선행대응
2025-05,S3_통합대응,448337.464,291419.352,291419.352,448884.450,70790.124,0.000,100.00,50.00,0.000,303492.507,1,Phase 3 공급차질
2025-06,S3_통합대응,452724.555,357309.011,357309.011,453670.855,71482.825,0.000,100.00,50.00,0.000,207345.267,1,Phase 3 공급차질
2025-07,S3_통합대응,516018.636,402578.454,402578.454,524688.196,81476.628,0.000,100.00,50.00,0.000,85235.527,1,Phase 3 공급차질
2025-08,S3_통합대응,485491.856,378512.436,378512.436,468049.872,76656.608,0.000,100.00,50.00,0.000,0.000,1,Phase 3 공급차질
2025-09,S3_통합대응,473822.600,449920.485,449920.485,449920.485,0.000,0.000,100.00,70.00,0.000,0.000,2,Phase 4 공급회복
2025-10,S3_통합대응,468783.304,468548.912,468548.912,468548.912,0.000,0.000,100.00,90.00,45328.026,0.000,1,Phase 4 공급회복
2025-11,S3_통합대응,468288.084,468288.084,468288.084,468288.084,0.000,0.000,100.00,100.00,96432.432,0.000,0,Phase 5 정상화
2025-12,S3_통합대응,457257.693,457257.693,457257.693,457257.693,0.000,0.000,100.00,100.00,96432.431,0.000,0,Phase 5 정상화
