권역ID,권역코드,권역명,시스템,문서번호,수량,수량단위,연동상태,데이터구분,산출기준,최근동기화,비고
Seoul,Zone1,서울권,ERP,ERP-20250929-Zone1-CEFA,20966.258,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 26.6055%,2026-10-28,서울권 세파졸린 우선 공급배분 승인 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Seoul,Zone1,서울권,MES,CEFA-39-L1-Zone1,25212.589,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 26.6055%,2026-10-28,서울권 세파졸린 우선 출하배분 승인 · LOT CEFA-39-L1
Seoul,Zone1,서울권,WMS,FG-R01-L001,41340.887,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,서울권 세파졸린 긴급 출고 피킹 완료
Gyeonggi,Zone2,경기인천수도권,ERP,ERP-20250929-Zone2-CEFA,26373.962,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 33.4677%,2026-10-28,경기인천수도권 세파졸린 우선 공급배분 승인 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Gyeonggi,Zone2,경기인천수도권,MES,CEFA-39-L1-Zone2,31715.524,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 33.4677%,2026-10-28,경기인천수도권 세파졸린 우선 출하배분 승인 · LOT CEFA-39-L1
Gyeonggi,Zone2,경기인천수도권,WMS,FG-R02-L001,91093.906,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,경기인천수도권 세파졸린 긴급 출고 피킹 완료
Gangwon,Zone3,강원권,ERP,ERP-20250929-Zone3-CEFA,1456.634,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 1.8484%,2026-10-28,강원권 세파졸린 정규 공급배분 승인 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Gangwon,Zone3,강원권,MES,CEFA-39-L1-Zone3,1751.649,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 1.8484%,2026-10-28,강원권 세파졸린 정규 출하배분 승인 · LOT CEFA-39-L1
Gangwon,Zone3,강원권,WMS,FG-R03-L001,11386.065,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,강원권 세파졸린 안전재고 보충 입고 검수 완료
Chungcheong,Zone4,대전세종충청권,ERP,ERP-20250929-Zone4-CEFA,6425.498,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 8.1538%,2026-10-28,대전세종충청권 세파졸린 정규 공급배분 승인 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Chungcheong,Zone4,대전세종충청권,MES,CEFA-39-L1-Zone4,7726.865,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 8.1538%,2026-10-28,대전세종충청권 세파졸린 정규 출하배분 승인 · LOT CEFA-39-L1
Chungcheong,Zone4,대전세종충청권,WMS,FG-R04-L001,53486.398,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,대전세종충청권 세파졸린 안전재고 보충 입고 검수 완료
Honam,Zone5,광주전북전남권,ERP,ERP-20250929-Zone5-CEFA,7507.973,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 9.5274%,2026-10-28,광주전북전남권 세파졸린 차기 발주량 조정 검토 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Honam,Zone5,광주전북전남권,MES,CEFA-39-L1-Zone5,9028.575,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 9.5274%,2026-10-28,광주전북전남권 세파졸린 권역간 재배분 대기 · LOT CEFA-39-L1
Honam,Zone5,광주전북전남권,WMS,FG-R07-L001,70700.004,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,광주전북전남권 세파졸린 권역간 재고 이송 피킹 예정
Daegu,Zone6,대구경북권,ERP,ERP-20250929-Zone6-CEFA,3776.332,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 4.7920%,2026-10-28,대구경북권 세파졸린 우선 공급배분 승인 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Daegu,Zone6,대구경북권,MES,CEFA-39-L1-Zone6,4541.158,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 4.7920%,2026-10-28,대구경북권 세파졸린 우선 출하배분 승인 · LOT CEFA-39-L1
Daegu,Zone6,대구경북권,WMS,FG-R05-L001,20127.263,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,대구경북권 세파졸린 긴급 출고 피킹 완료
Busan,Zone7,부산울산경남권,ERP,ERP-20250929-Zone7-CEFA,11040.85,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 14.0105%,2026-10-28,부산울산경남권 세파졸린 차기 발주량 조정 검토 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Busan,Zone7,부산울산경남권,MES,CEFA-39-L1-Zone7,13276.971,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 14.0105%,2026-10-28,부산울산경남권 세파졸린 권역간 재배분 대기 · LOT CEFA-39-L1
Busan,Zone7,부산울산경남권,WMS,FG-R06-L001,109967.754,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,부산울산경남권 세파졸린 권역간 재고 이송 피킹 예정
Jeju,Zone8,제주권,ERP,ERP-20250929-Zone8-CEFA,1256.673,API 환산단위,동기화 완료,ERP 확정공급 배분,02_ERP 확정공급량 × 09월 권역수요 비중 1.5947%,2026-10-28,제주권 세파졸린 정규 공급배분 승인 · EVT-003 부분회복 반영 · 공급이행률 79.0%
Jeju,Zone8,제주권,MES,CEFA-39-L1-Zone8,1511.189,완제품 처방수요 상당 단위,동기화 완료,MES 승인생산 배분,04_MES 사용가능수량 × 09월 권역수요 비중 1.5947%,2026-10-28,제주권 세파졸린 정규 출하배분 승인 · LOT CEFA-39-L1
Jeju,Zone8,제주권,WMS,FG-R08-L001,10374.827,완제품 처방수요 상당 단위,동기화 완료,WMS 재고 원천,05_WMS 권역 현재고량,2026-10-28,제주권 세파졸린 안전재고 보충 입고 검수 완료
