시나리오ID,공급사ID,입고구분,입고횟수,총입고량,총조달비용(원),최초입고주차,최종입고주차
S0_정상,S1,기본입고,50,4191517.985,29340625895.00,2026-01-06,2026-12-15
S0_정상,S2,기본입고,50,1197576.567,9389000285.28,2026-01-06,2026-12-15
S0_정상,S3,기본입고,50,598788.283,4945991217.58,2026-01-06,2026-12-15
S1_무대응,S1,기본입고,50,3285045.231,22995316618.40,2026-01-06,2026-12-15
S1_무대응,S2,기본입고,50,1197576.567,9389000285.28,2026-01-06,2026-12-15
S1_무대응,S3,기본입고,50,598788.283,4945991217.58,2026-01-06,2026-12-15
S2_내부대응,S1,기본입고,50,3285045.231,22995316618.40,2026-01-06,2026-12-15
S2_내부대응,S2,기본입고,50,1197576.567,9389000285.28,2026-01-06,2026-12-15
S2_내부대응,S3,기본입고,50,598788.283,4945991217.58,2026-01-06,2026-12-15
S3_통합대응,S1,기본입고,50,3285045.231,22995316618.40,2026-01-06,2026-12-15
S3_통합대응,S2,기본입고,50,1197576.567,9389000285.28,2026-01-06,2026-12-15
S3_통합대응,S2,긴급조달,24,276052.462,2337391405.53,2026-06-02,2026-11-10
S3_통합대응,S3,기본입고,50,598788.283,4945991217.58,2026-01-06,2026-12-15
S3_통합대응,S3,긴급조달,24,138026.231,1276908267.84,2026-06-16,2026-11-24
