기준월,권역ID,권역코드,권역명,월예측수요량,월안전재고량,월목표재고량,평균리드타임(시간),수량단위,데이터구분
2025-01,Seoul,Zone1,서울권,180543.658,26160.776,206704.434,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Gyeonggi,Zone2,경기인천수도권,180291.15,22139.753,202430.903,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Gangwon,Zone3,강원권,9772.775,1071.096,10843.871,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Chungcheong,Zone4,대전세종충청권,42241.333,6382.665,48623.998,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Honam,Zone5,광주전북전남권,50459.455,6100.548,56560.003,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Daegu,Zone6,대구경북권,24097.58,4655.652,28753.232,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Busan,Zone7,부산울산경남권,75675.953,8914.627,84590.58,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-01,Jeju,Zone8,제주권,7197.119,1824.47,9021.589,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Seoul,Zone1,서울권,128240.183,18582.003,146822.186,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Gyeonggi,Zone2,경기인천수도권,141978.471,17434.956,159413.427,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Gangwon,Zone3,강원권,8595.886,942.109,9537.995,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Chungcheong,Zone4,대전세종충청권,37238.567,5626.747,42865.314,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Honam,Zone5,광주전북전남권,41309.409,4994.308,46303.717,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Daegu,Zone6,대구경북권,20563.042,3972.78,24535.822,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Busan,Zone7,부산울산경남권,62628.768,7377.669,70006.437,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-02,Jeju,Zone8,제주권,6726.891,1705.267,8432.158,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Seoul,Zone1,서울권,121071.296,17543.231,138614.527,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Gyeonggi,Zone2,경기인천수도권,149047.78,18303.067,167350.847,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Gangwon,Zone3,강원권,8706.291,954.209,9660.5,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Chungcheong,Zone4,대전세종충청권,37766.656,5706.542,43473.198,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Honam,Zone5,광주전북전남권,41662.507,5036.997,46699.504,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Daegu,Zone6,대구경북권,21913.122,4233.615,26146.737,2.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Busan,Zone7,부산울산경남권,64283.388,7572.583,71855.971,3.85,완제품 처방수요 상당 단위,Option C 보정반영
2025-03,Jeju,Zone8,제주권,6244.932,1583.09,7828.022,30,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Seoul,Zone1,서울권,120965.071,17527.839,138492.91,1.76,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Gyeonggi,Zone2,경기인천수도권,151999.23,18665.505,170664.735,1.36,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Gangwon,Zone3,강원권,8416.008,922.394,9338.402,1.86,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Chungcheong,Zone4,대전세종충청권,37796.372,5711.032,43507.404,0.98,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Honam,Zone5,광주전북전남권,41325.877,4996.299,46322.176,2.91,완제품 처방수요 상당 단위,Option C 보정반영
2025-04,Daegu,Zone6,대구경북권,20435.295,3948.099,24383.394,2.76,완제품 처방수요 상당 단위,Option C 보정반영
